keyword,volume_mensal_est,cpc_est_brl,dificuldade
curso automação ia,5400,2.50,Medium
implementação chatgpt empresas,2900,4.20,Medium
agentes ia vendas,1600,5.10,High
automação whatsapp ia,12000,1.80,Medium
crm integrado ia,3400,8.50,High
consultoria ia para pme,800,12.00,Low
ferramentas ia marketing,9000,3.00,Medium
chatbot inteligente,15000,2.20,High
automação atendimento cliente,6000,3.50,Medium
ia para pequenos negócios,1200,4.00,Low
curso typebot avançado,2500,1.50,Low
api whatsapp oficial,18000,0.90,High
